Key,Issue Type,Summary,Description,Epic Link,Sprint,Status,Priority,Story Points,Labels
E4-01,Epic,Phase 4: Workflow Automation Foundation,"Rule schema, evaluator, dry-run mode, action executors, audit trail.",,Sprint 5 (Weeks 13-14),To Do,Highest,13,"phase4,workflow"
E4-02,Epic,Phase 4: Knowledge Base Integration,"KB CRUD, retrieval service, compliance filtering, citations in reply flow.",,Sprint 5 (Weeks 13-14),To Do,High,13,"phase4,kb"
E4-03,Epic,Phase 4: Increment 1 Hardening & Release Gate,"Integration tests, release checklist, gate script, completion report.",,Sprint 5 (Weeks 13-14),To Do,High,8,"phase4,release"
S5-01,Story,Create workflow rule schema migrations,"Add workflow_rules, workflow_rule_conditions, workflow_rule_actions, workflow_executions, workflow_execution_steps.",E4-01,Sprint 5 (Weeks 13-14),Done,Highest,5,"phase4,workflow,db"
S5-02,Story,Build workflow rule management API,"Tenant-scoped create/update/enable/disable/list endpoints with priority.",E4-01,Sprint 5 (Weeks 13-14),Done,Highest,5,"phase4,workflow,api"
S5-03,Story,Implement RuleEvaluatorService,"Evaluate conditions deterministically and produce ordered action plan.",E4-01,Sprint 5 (Weeks 13-14),Done,Highest,5,"phase4,workflow,backend"
S5-04,Story,Add dry-run workflow execution mode,"Execute evaluation with no side effects and full trace output.",E4-01,Sprint 5 (Weeks 13-14),Done,High,3,"phase4,workflow,safety"
S5-05,Story,Implement EscalateActionExecutor,"Raise mention priority and escalation level from rule actions.",E4-01,Sprint 5 (Weeks 13-14),Done,High,2,"phase4,workflow,backend"
S5-06,Story,Implement AssignReviewerActionExecutor,"Route mention to reviewer/queue per rule payload.",E4-01,Sprint 5 (Weeks 13-14),Done,High,2,"phase4,workflow,backend"
S5-07,Story,Implement NotifyWebhookActionExecutor,"Send webhook with retries, timeout, idempotency key support.",E4-01,Sprint 5 (Weeks 13-14),Done,High,3,"phase4,workflow,integration"
S5-08,Story,Persist workflow execution audit trail,"Store condition outcomes, action outcomes, durations, failures, correlation id.",E4-01,Sprint 5 (Weeks 13-14),Done,High,3,"phase4,workflow,audit"
S5-09,Story,Create knowledge base schema migrations,"Add knowledge_base_articles, knowledge_base_article_tags, knowledge_base_feedback.",E4-02,Sprint 5 (Weeks 13-14),Done,High,3,"phase4,kb,db"
S5-10,Story,Build admin KB CRUD APIs,"Tenant-scoped CRUD with compliance visibility labels PUBLIC/INTERNAL/RESTRICTED.",E4-02,Sprint 5 (Weeks 13-14),Done,High,5,"phase4,kb,api"
S5-11,Story,Implement KnowledgeRetrievalService,"Retrieve top-N article snippets with source references and filtering.",E4-02,Sprint 5 (Weeks 13-14),Done,High,5,"phase4,kb,backend"
S5-12,Story,Add compliance-aware KB filtering,"Enforce visibility rules before prompt context assembly.",E4-02,Sprint 5 (Weeks 13-14),Done,Highest,3,"phase4,kb,compliance"
S5-13,Story,Integrate KB context into reply generation,"Inject citations when confidence threshold is met.",E4-02,Sprint 5 (Weeks 13-14),Done,High,5,"phase4,kb,replies"
S5-14,Story,Add attach_kb_article workflow action,"Allow rules to attach specific KB article(s) for downstream reply generation.",E4-02,Sprint 5 (Weeks 13-14),Done,Medium,3,"phase4,workflow,kb"
S5-15,Story,Add workflow + KB integration tests,"Cover tenant isolation, dry-run behavior, compliance filtering, citations.",E4-03,Sprint 5 (Weeks 13-14),Done,High,5,"phase4,qa,integration"
S5-15,Story,Add workflow + KB integration tests,"Cover tenant isolation, dry-run behavior, compliance filtering, citations.",E4-03,Sprint 5 (Weeks 13-14),Done,High,5,"phase4,qa,integration"
S5-16,Story,Create Phase 4 release gate docs and script,"Add S4_RELEASE_GATE.md and scripts/phase4_release_gate.sh.",E4-03,Sprint 5 (Weeks 13-14),Done,Medium,3,"phase4,release,qa"
S5-17,Story,Create Sprint 4 increment completion report,"Document outcomes, risks, metrics, and go-forward recommendations.",E4-03,Sprint 5 (Weeks 13-14),Done,Medium,2,"phase4,release,docs"

